               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.050422,            0.017768,           0.0037453,             0.62582,                0.77,             0.70273,              0.4673,            0.048454,             0.01279,           0.0043435,           0.0017718,           0.0017718,            0.079472
                 112,            0.050676,            0.020155,           0.0040145,             0.95186,                0.65,             0.78762,             0.30209,            0.050842,            0.012895,            0.004212,             0.00178,             0.00178,             0.07928
                 113,            0.058464,            0.018094,           0.0038899,              0.7038,                 0.7,             0.64934,             0.23967,            0.057856,            0.013303,           0.0042314,           0.0017881,           0.0017881,            0.079088
                 114,            0.057882,            0.017837,           0.0038141,             0.65768,                0.62,             0.57037,             0.12857,            0.059863,            0.012429,           0.0043532,            0.001796,            0.001796,            0.078896
                 115,            0.055239,            0.018592,           0.0039985,             0.65748,                0.69,             0.67483,             0.31741,            0.051828,            0.012546,           0.0044522,           0.0018037,           0.0018037,            0.078704
                 116,            0.051083,            0.019192,           0.0040857,             0.81573,                0.77,             0.79346,             0.44711,            0.044695,            0.012397,           0.0044132,           0.0018112,           0.0018112,            0.078511
                 117,            0.053918,            0.020154,           0.0042169,             0.36334,                0.75,             0.48129,              0.1011,            0.063457,            0.012888,           0.0043783,           0.0018185,           0.0018185,            0.078319
                 118,            0.061008,            0.018297,           0.0039658,             0.60857,                0.69,             0.68618,             0.19833,            0.057566,            0.012254,           0.0043208,           0.0018257,           0.0018257,            0.078126
                 119,              0.0583,            0.017688,           0.0038359,             0.48987,              0.7494,             0.54813,             0.27507,            0.057262,            0.012599,           0.0043047,           0.0018326,           0.0018326,            0.077933
                 120,            0.053395,            0.020359,           0.0037801,             0.65863,             0.73728,             0.67279,             0.15625,            0.053463,            0.012459,           0.0042187,           0.0018394,           0.0018394,            0.077739
                 121,            0.055391,            0.020305,           0.0037051,             0.72821,             0.74947,             0.71201,              0.3086,            0.059757,             0.01239,           0.0040157,            0.001846,            0.001846,            0.077546
                 122,            0.054653,            0.017116,           0.0035714,             0.66084,             0.64907,             0.61009,             0.19944,            0.050287,            0.012475,           0.0039147,           0.0018524,           0.0018524,            0.077352
                 123,            0.050339,            0.017359,           0.0037931,             0.81597,             0.65955,              0.7249,              0.3357,            0.047977,            0.012688,           0.0037373,           0.0018587,           0.0018587,            0.077159
                 124,            0.050813,            0.020509,           0.0037808,             0.98425,                0.66,             0.78392,             0.37663,            0.048952,            0.012798,           0.0036738,           0.0018647,           0.0018647,            0.076965
                 125,            0.054439,            0.017592,           0.0033566,              0.6172,                0.66,             0.58152,             0.20417,            0.051388,            0.012785,            0.003695,           0.0018706,           0.0018706,            0.076771
                 126,            0.051492,            0.019211,           0.0039444,              0.7008,                0.53,             0.61526,             0.20781,             0.04798,            0.012228,           0.0036984,           0.0018762,           0.0018762,            0.076576
                 127,            0.050381,            0.018991,           0.0033231,             0.57722,                 0.7,             0.64227,             0.31405,            0.051596,            0.012278,            0.003636,           0.0018817,           0.0018817,            0.076382
                 128,            0.051078,             0.01937,           0.0035166,             0.88714,             0.67893,             0.82891,              0.3815,            0.043681,            0.012174,           0.0037459,            0.001887,            0.001887,            0.076187
                 129,            0.053062,            0.015457,           0.0033171,             0.64819,             0.58741,             0.59589,             0.19219,            0.060409,            0.012267,           0.0037382,           0.0018922,           0.0018922,            0.075992
                 130,            0.054344,            0.018303,           0.0037109,             0.78972,                0.73,             0.74365,             0.30644,            0.041236,             0.01229,           0.0037761,           0.0018971,           0.0018971,            0.075797
                 131,            0.047988,            0.016833,           0.0038648,             0.59502,                0.75,             0.61644,              0.3011,            0.046521,            0.012175,           0.0036142,           0.0019019,           0.0019019,            0.075602
                 132,            0.054319,            0.018267,           0.0034757,             0.71364,                0.69,             0.69911,              0.3325,            0.055806,            0.012177,            0.003715,           0.0019064,           0.0019064,            0.075406
                 133,            0.054459,            0.018908,           0.0035742,             0.68792,                0.65,             0.73276,             0.34905,            0.048403,            0.012184,           0.0036837,           0.0019108,           0.0019108,            0.075211
                 134,            0.050661,             0.01669,           0.0033874,             0.80187,                0.75,             0.78887,             0.42644,            0.049745,             0.01198,           0.0036643,            0.001915,            0.001915,            0.075015
                 135,            0.049288,            0.017587,           0.0035558,             0.70618,                0.77,             0.81388,             0.45684,            0.039906,            0.012186,           0.0038414,            0.001919,            0.001919,            0.074819
                 136,             0.04783,            0.019663,           0.0039932,             0.95015,             0.77009,             0.83958,             0.53725,            0.050072,             0.01214,           0.0036613,           0.0019228,           0.0019228,            0.074623
                 137,            0.046453,            0.018823,           0.0033763,             0.97824,                0.77,             0.85544,             0.47484,            0.040554,            0.012319,           0.0036707,           0.0019265,           0.0019265,            0.074426
                 138,            0.053045,            0.019816,           0.0037911,             0.76982,              0.6289,             0.69224,             0.30905,            0.049001,            0.012327,            0.003761,           0.0019299,           0.0019299,             0.07423
                 139,            0.052214,            0.018275,           0.0034954,             0.63756,             0.74953,             0.69617,             0.24142,            0.051466,            0.011684,           0.0039414,           0.0019332,           0.0019332,            0.074033
                 140,             0.05453,            0.016498,            0.003728,             0.65222,                0.61,             0.63401,             0.24988,            0.048114,            0.012094,           0.0039331,           0.0019363,           0.0019363,            0.073836
                 141,            0.047777,            0.017372,           0.0034712,              0.7439,             0.65439,             0.74452,             0.30169,             0.04138,             0.01185,            0.003775,           0.0019391,           0.0019391,            0.073639
                 142,            0.045547,            0.015985,           0.0034293,             0.76166,              0.6854,             0.71212,             0.21784,            0.043928,            0.012035,           0.0035858,           0.0019419,           0.0019419,            0.073442
                 143,            0.049594,            0.016899,           0.0031863,              0.5477,                0.75,             0.54505,             0.23956,             0.05361,            0.011879,           0.0035235,           0.0019444,           0.0019444,            0.073244
                 144,            0.053544,            0.016551,           0.0030588,             0.66455,             0.68982,             0.70608,             0.36551,            0.051081,            0.011821,           0.0034258,           0.0019467,           0.0019467,            0.073047
                 145,             0.05061,              0.0184,           0.0035369,             0.70004,             0.72398,             0.74346,             0.27187,            0.046746,            0.011895,           0.0034146,           0.0019489,           0.0019489,            0.072849
                 146,            0.050362,            0.017054,           0.0031369,             0.86613,                0.56,             0.74959,             0.30923,            0.050368,            0.011972,           0.0033659,           0.0019508,           0.0019508,            0.072651
                 147,            0.050636,            0.017727,           0.0030149,             0.88879,                0.75,             0.77103,             0.34575,            0.048566,            0.011758,           0.0033661,           0.0019526,           0.0019526,            0.072453
                 148,            0.048423,            0.018103,           0.0031886,             0.85967,              0.5788,              0.7584,             0.38321,            0.042201,            0.012015,           0.0032466,           0.0019542,           0.0019542,            0.072254
                 149,            0.050134,            0.016211,           0.0031942,             0.59804,             0.70606,             0.58413,              0.2336,            0.050896,            0.011992,           0.0033054,           0.0019557,           0.0019557,            0.072056
                 150,            0.053432,            0.017475,           0.0029353,             0.61008,                0.69,             0.69123,             0.20754,             0.05241,            0.011738,           0.0032759,           0.0019569,           0.0019569,            0.071857
                 151,            0.049436,            0.017922,           0.0028026,             0.68891,             0.70797,             0.76641,             0.39612,            0.039941,            0.011647,            0.003334,            0.001958,            0.001958,            0.071658
                 152,            0.048692,            0.017931,            0.002922,             0.54336,             0.64992,             0.50572,             0.19868,            0.055221,            0.011336,           0.0032987,           0.0019588,           0.0019588,            0.071459
                 153,            0.055179,              0.0161,           0.0031138,             0.54543,                 0.7,             0.59161,             0.15599,             0.05264,            0.011272,           0.0032833,           0.0019595,           0.0019595,             0.07126
                 154,            0.047292,              0.0183,           0.0030343,             0.79361,             0.69989,             0.79665,             0.43632,            0.038707,            0.011681,           0.0032614,           0.0019601,           0.0019601,             0.07106
                 155,            0.045501,             0.01768,           0.0032325,             0.80342,                0.71,             0.75168,             0.36001,            0.048336,             0.01149,            0.003293,           0.0019604,           0.0019604,             0.07086
                 156,            0.046342,            0.015998,           0.0028448,             0.65015,                0.81,             0.82888,              0.3838,            0.040377,            0.011739,           0.0033355,           0.0019605,           0.0019605,            0.070661
                 157,            0.046855,            0.015732,           0.0031463,             0.58103,              0.8098,             0.73422,             0.33536,            0.040578,            0.011677,           0.0035074,           0.0019605,           0.0019605,            0.070461
